,Taylor Swift,Justin Bieber,Selena Gomez,Rihanna,Billie Eilish,Alicia Keys,Ed Sheeran
20201211,135376,15679,12933,10996,25956,4908,7715
20201212,78733,16722,14547,10861,26786,4875,7466
20201213,71832,16613,13893,12187,27587,5170,8417
20201214,52890,16094,11972,10836,29256,4816,7195
20201215,47542,15330,11561,11100,29486,4267,6700
20201216,40082,14462,11211,10729,34882,4370,7584
20201217,36607,14585,12444,11318,33595,4650,7402
20201218,30708,15820,11709,12249,53842,5080,6864
20201219,27216,14774,11098,13794,44050,4814,7476
20201220,27902,16133,13751,13705,30241,4823,9844
20201221,28323,16681,14520,12337,26021,4387,16359
20201222,27375,16154,13852,12157,27508,4339,11868
20201223,23208,16278,11866,12025,27352,4816,8527
20201224,21585,16426,11018,11217,24271,4637,8015
20201225,19971,17641,10838,12293,23346,4594,7912
20201226,24718,17317,11936,13565,22264,4612,9238
20201227,24011,16488,12985,15306,23888,5630,10924
20201228,22916,18349,13123,13312,22645,5322,9204
20201229,22215,19149,12528,13410,27200,6343,9020
20201230,20463,18154,12677,15079,39960,6114,8145
20201231,20212,17195,12316,14554,28108,86701,12964
20210101,23450,27991,12941,16169,26062,103738,12212
20210102,23701,27942,14317,16077,24187,9342,9875
20210103,21699,22374,14266,16134,22630,11050,9680
20210104,19572,21977,12826,15624,21162,6866,8049
20210105,18989,18249,11801,13042,20280,5944,8122
20210106,19209,16507,12366,11739,20127,5016,7342
20210107,17986,14861,13248,11414,17531,4485,7036
20210108,19114,16124,13089,11516,19746,6100,7866
20210109,19254,17519,13329,12444,20904,6023,8701
20210110,20011,18166,14670,12333,21893,5931,8841
20210111,19895,18104,13657,11020,19069,4826,7743
20210112,18311,17625,14183,11109,18932,4689,7956
20210113,18320,17059,12951,12136,19664,4551,8049
20210114,17165,15381,16290,12498,18572,4507,8405
20210115,18053,15197,41481,12075,21226,4774,8363
20210116,18586,15065,28809,16357,19555,5411,9427
20210117,18049,14666,22328,13428,20757,5595,8478
20210118,16455,13729,18655,12281,19203,4825,7514
20210119,15579,13239,14541,11244,20281,7297,7062
20210120,16452,12508,14037,12191,18056,4975,6629
20210121,16473,13089,15680,12035,19673,4511,6692
20210122,19425,13316,16090,12054,22571,4973,7062
20210123,16838,16851,17096,12078,25455,5621,9343
20210124,16782,20221,19145,12783,21723,6122,8601
20210125,15463,15097,16714,13260,23141,22485,7431
20210126,14968,13916,15350,12157,27856,18760,7652
20210127,16229,14418,17212,11002,24992,6689,7253
20210128,15695,13630,16360,12237,23217,5629,6793
20210129,16139,14169,22431,13160,20575,6063,7622
20210130,17189,14792,21678,12676,23867,7439,8586
20210131,16438,14488,22364,12650,21985,6484,8302
20210201,17376,13350,16954,11228,18734,5794,6847
20210202,15693,13483,14944,26684,19965,4921,6863
20210203,15758,13161,14612,116422,21542,5175,6998
20210204,17725,13324,14580,104875,20595,5095,7068
20210205,16890,14083,15837,69198,20499,5532,7598
20210206,15557,14491,16820,48491,22576,6264,9773
20210207,16126,13749,17587,32284,19732,15470,8569
20210208,14795,14740,31769,25491,21741,11748,7142
20210209,14797,12726,16115,19339,19180,5329,7995
20210210,14268,12514,13902,18726,18518,5238,6765
20210211,45923,13144,13310,17052,18914,4893,7160
20210212,66703,13020,13048,15086,18426,4948,7608
20210213,39852,13313,13222,16105,20388,5992,8275
20210214,34863,13489,13520,15019,18798,5380,8985
20210215,27453,14292,13113,15511,21668,5095,8141
20210216,22488,12623,11304,24516,23205,4664,7888
20210217,21226,12143,10732,24659,21510,4402,21281
20210218,21746,12272,12297,19511,21731,5077,10311
20210219,21949,13071,16814,19128,22768,5570,9225
20210220,21972,13640,12600,37843,23791,5114,9107
20210221,21768,13721,13587,37433,22588,5056,8901
20210222,20318,12794,11334,19461,23320,4807,7661
20210223,18970,12869,11166,15092,22732,4694,7490
20210224,19282,13415,11400,14261,39745,5219,7573
20210225,22189,13627,11543,14002,34605,6016,7786
20210226,18390,19408,12240,13115,59215,6403,8232
20210227,20466,21419,14529,14356,85185,5820,9155
20210228,20107,20479,13075,13762,68301,5793,8548
20210301,23986,38775,11944,13977,54302,4648,8295
20210302,33458,32061,11656,12906,42782,4619,8382
20210303,22457,20780,12509,12192,42462,4683,7164
20210304,19210,19164,11766,12471,39195,4402,7184
20210305,19041,22123,12310,12338,35699,4676,7771
20210306,18634,20526,11926,13214,39359,5273,8246
20210307,19148,19438,12107,13958,39864,5194,7787
20210308,18759,16880,10881,12930,32443,5017,7019
20210309,17047,17031,14157,11692,28561,4758,7243
20210310,17517,16388,15652,11390,27517,4341,6788
20210311,17120,17451,14955,11709,28241,4552,7165
20210312,19658,18469,21924,11858,27459,4910,7953
20210313,20463,21516,20432,17357,30076,7567,8509
20210314,23964,23227,16612,13255,38252,5999,8158
20210315,158351,25188,14381,14167,193494,6156,7922
20210316,68979,19142,12551,12373,84016,5360,8035
20210317,36422,19987,12745,11995,67255,4808,9278
20210318,28247,24501,12438,12143,63065,4641,8436
20210319,24806,63959,12557,12019,41866,5180,8368
20210320,24611,40050,12829,12717,37453,5006,8481
20210321,23475,32591,13200,12014,35290,4939,8036
20210322,21075,30897,12293,11446,31056,4565,7498
20210323,20871,27445,12702,10796,26476,4638,7262
20210324,22157,26327,12403,11638,24351,4459,11108
20210325,21926,24008,12252,13251,23294,6059,10518
20210326,25808,25049,12474,12157,22689,4605,8931
20210327,21561,25172,13376,11716,23626,5230,9279
20210328,20394,23544,12709,12519,23850,9876,8934
20210329,18831,24235,12063,11407,22412,5883,8737
20210330,18327,22870,11763,10983,21009,5141,8516
20210331,20016,20860,12349,11117,21665,4368,7356
20210401,17860,19987,10949,11567,21703,4495,7188
20210402,21380,23226,11063,11328,19242,4534,7856
20210403,22922,23152,11628,11063,21700,5372,8119
20210404,22500,22836,12344,11631,21725,5831,10476
20210405,21399,26790,12558,12135,20619,5098,7449
20210406,20357,24692,11978,12472,17880,4569,7250
20210407,25586,21881,11935,12373,17128,4809,6863
20210408,30314,21687,11254,11365,17956,5087,7058
20210409,77916,21273,11588,11304,18499,7894,7335
20210410,56514,20560,12104,11869,18851,9942,7623
20210411,42809,20958,13343,11738,18595,8951,7731
20210412,35850,19545,13147,10980,17838,5886,6510
20210413,30170,22018,12759,10722,15437,5153,6372
20210414,34043,26820,12430,10507,15509,4740,6378
20210415,28069,25072,12172,10783,15997,4995,6589
20210416,28376,22303,13311,11087,15864,5472,7493
20210417,27607,20831,12707,11369,16824,5906,6998
20210418,26954,33180,12627,11700,22356,5190,7887
20210419,27834,23857,14017,10279,18612,4202,6872
20210420,24648,19477,11905,10304,18201,5617,6710
20210421,21717,17959,11108,10212,18963,3994,6894
20210422,21409,19211,12177,10392,17472,4979,6644
20210423,22205,18575,12387,10196,16542,4535,6988
20210424,21522,20162,12975,11227,17872,4827,7442
20210425,21881,19106,12920,11528,17508,11137,7356
20210426,19490,18167,12958,11071,22914,6032,6497
20210427,18408,20843,12856,10356,38245,4352,6407
20210428,18859,20879,13212,10542,31196,5718,7388
20210429,19548,20331,12660,10536,32920,5475,6737
20210430,21624,20081,12961,10613,35728,5197,7568
20210501,20441,20287,14074,11675,30814,5153,7411
20210502,18986,20967,13523,11350,62116,4594,7374
20210503,20495,20849,17156,11305,133715,4585,7038
20210504,19811,19955,14379,10949,78643,4712,6328
20210505,17719,18212,13393,11072,64660,4651,6276
20210506,17497,19946,12789,11483,45572,4149,20767
20210507,17444,20127,13236,11623,36442,4319,10709
20210508,17637,19867,14055,11747,32800,4661,8223
20210509,17735,19494,17242,11585,30049,9287,8594
20210510,19862,18595,12995,10923,27522,5355,6642
20210511,49446,17750,13018,12671,42100,5298,6785
20210512,32084,16435,14070,12872,32353,5143,6263
20210513,22608,17797,12597,12258,26152,4950,6536
20210514,20378,18370,12478,11399,25511,4718,6981
20210515,20236,18634,13739,11519,22683,4808,6946
20210516,26032,18375,13905,11722,22369,4709,6979
20210517,19150,15887,15633,10358,73280,4395,8367
20210518,18302,16391,20220,11007,30964,4503,6764
20210519,17122,15504,16306,24558,24366,4202,6682
20210520,18535,17517,14740,38121,21895,4107,7678
20210521,19784,16967,13171,18971,23166,4178,8300
20210522,17756,17499,13065,14970,24838,4503,7986
20210523,19136,17645,13738,14934,23678,5181,7984
20210524,22647,18212,12840,15628,21928,25771,7536
20210525,18295,16417,13168,13484,21627,6430,6854
20210526,18469,35755,14959,11723,25566,5178,6280
20210527,22854,22055,14853,11772,22241,5227,6771
20210528,17985,21747,14011,11596,21799,5259,7646
20210529,18676,19891,15418,12570,21319,6162,14805
20210530,16924,19158,14810,13044,18864,5253,11957
20210531,17193,22845,14173,12610,19399,5917,13301
20210601,20404,19152,13277,10938,18901,5232,9714
20210602,19493,17664,11800,13976,29877,6281,7738
20210603,18539,20564,11486,13534,31592,5494,8338
20210604,17693,17838,11238,11798,33496,7027,10137
20210605,16581,21495,11381,11600,25349,7014,9329
20210606,25284,18624,11743,11177,22379,6382,9367
20210607,18942,16683,11194,10249,24802,6902,8992
20210608,18285,15968,13342,10462,22373,4547,8226
20210609,19443,15592,15875,9918,20571,4364,8532
20210610,19295,15271,14171,10339,21274,5100,8342
20210611,17677,15397,13313,11160,25210,4257,9591
20210612,17206,15779,12807,20658,21329,4004,8836
20210613,16658,17063,11695,13334,22917,4587,9891
20210614,15788,16951,11371,12269,25706,3983,8270
20210615,15007,14402,11223,11656,22669,3695,9693
20210616,15605,14340,11385,11091,20224,3534,7923
20210617,16858,15302,11184,10667,26669,3777,7279
20210618,28804,15490,12890,10245,26772,3773,7411
20210619,30998,14930,13880,10398,20210,3966,8170
20210620,22851,15186,13929,11226,19004,4433,7775
20210621,20217,15217,12885,10630,17433,3607,7807
20210622,18287,18192,13374,10713,32552,3595,7684
20210623,19222,17350,12545,12066,22797,3707,7431
20210624,18774,15214,12908,15832,17977,3608,8640
20210625,18032,14512,12498,17508,16822,3981,34338
20210626,18019,15099,13143,15225,15694,4428,25946
20210627,18479,17211,12903,13226,14684,4878,21534
20210628,17038,16352,12019,12603,14611,4157,19139
20210629,17006,17360,12152,10584,13918,4446,41706
20210630,17448,14675,11541,12411,16301,4153,32523
20210701,17497,15027,11661,21424,15711,4237,25999
